season,episode,title,airdate,imdb_rating,imdb_votes,description
1,1,Fake Episode 1,2007-09-24,7.5,7282,This is the description of fake episode 1.
1,2,Fake Episode 2,2007-10-01,6.6,6089,This is the description of fake episode 2.
1,3,Fake Episode 3,2007-10-08,7.2,2661,This is the description of fake episode 3.
1,4,Fake Episode 4,2007-10-15,8.4,11610,This is the description of fake episode 4.
1,5,Fake Episode 5,2007-10-22,7.5,5676,This is the description of fake episode 5.
1,6,Fake Episode 6,2007-10-29,8.1,8555,This is the description of fake episode 6.
1,7,Fake Episode 7,2007-11-05,8.3,13665,This is the description of fake episode 7.
1,8,Fake Episode 8,2007-11-12,7.5,11666,This is the description of fake episode 8.
1,9,Fake Episode 9,2007-11-19,8.4,9355,This is the description of fake episode 9.
1,10,Fake Episode 10,2007-11-26,7.9,2857,This is the description of fake episode 10.
1,11,Fake Episode 11,2007-12-03,9.1,4313,This is the description of fake episode 11.
1,12,Fake Episode 12,2007-12-10,9.3,8757,This is the description of fake episode 12.
1,13,Fake Episode 13,2007-12-17,8.9,7435,This is the description of fake episode 13.
1,14,Fake Episode 14,2007-12-24,8.4,8061,This is the description of fake episode 14.
1,15,Fake Episode 15,2007-12-31,7.0,11999,This is the description of fake episode 15.
1,16,Fake Episode 16,2008-01-07,7.1,5703,This is the description of fake episode 16.
1,17,Fake Episode 17,2008-01-14,6.7,12025,This is the description of fake episode 17.
2,1,Fake Episode 18,2008-01-21,7.3,4979,This is the description of fake episode 18.
2,2,Fake Episode 19,2008-01-28,6.8,11508,This is the description of fake episode 19.
2,3,Fake Episode 20,2008-02-04,7.2,6065,This is the description of fake episode 20.
2,4,Fake Episode 21,2008-02-11,9.2,4773,This is the description of fake episode 21.
2,5,Fake Episode 22,2008-02-18,7.5,14690,This is the description of fake episode 22.
2,6,Fake Episode 23,2008-02-25,6.8,9744,This is the description of fake episode 23.
2,7,Fake Episode 24,2008-03-03,7.9,5289,This is the description of fake episode 24.
2,8,Fake Episode 25,2008-03-10,8.0,2223,This is the description of fake episode 25.
2,9,Fake Episode 26,2008-03-17,8.8,6610,This is the description of fake episode 26.
2,10,Fake Episode 27,2008-03-24,9.2,12266,This is the description of fake episode 27.
2,11,Fake Episode 28,2008-03-31,7.7,5777,This is the description of fake episode 28.
2,12,Fake Episode 29,2008-04-07,9.3,10565,This is the description of fake episode 29.
2,13,Fake Episode 30,2008-04-14,9.1,2492,This is the description of fake episode 30.
2,14,Fake Episode 31,2008-04-21,6.8,10246,This is the description of fake episode 31.
2,15,Fake Episode 32,2008-04-28,8.2,2963,This is the description of fake episode 32.
2,16,Fake Episode 33,2008-05-05,7.3,8035,This is the description of fake episode 33.
2,17,Fake Episode 34,2008-05-12,8.1,13722,This is the description of fake episode 34.
3,1,Fake Episode 35,2008-05-19,7.5,11525,This is the description of fake episode 35.
3,2,Fake Episode 36,2008-05-26,6.8,3039,This is the description of fake episode 36.
3,3,Fake Episode 37,2008-06-02,9.2,9078,This is the description of fake episode 37.
3,4,Fake Episode 38,2008-06-09,8.6,2998,This is the description of fake episode 38.
3,5,Fake Episode 39,2008-06-16,7.1,4996,This is the description of fake episode 39.
3,6,Fake Episode 40,2008-06-23,7.5,3422,This is the description of fake episode 40.
3,7,Fake Episode 41,2008-06-30,8.1,9175,This is the description of fake episode 41.
3,8,Fake Episode 42,2008-07-07,8.4,12146,This is the description of fake episode 42.
3,9,Fake Episode 43,2008-07-14,8.3,14951,This is the description of fake episode 43.
3,10,Fake Episode 44,2008-07-21,9.5,13897,This is the description of fake episode 44.
3,11,Fake Episode 45,2008-07-28,9.1,6822,This is the description of fake episode 45.
3,12,Fake Episode 46,2008-08-04,9.0,14461,This is the description of fake episode 46.
3,13,Fake Episode 47,2008-08-11,8.8,11880,This is the description of fake episode 47.
3,14,Fake Episode 48,2008-08-18,8.1,10815,This is the description of fake episode 48.
3,15,Fake Episode 49,2008-08-25,8.3,11429,This is the description of fake episode 49.
3,16,Fake Episode 50,2008-09-01,6.9,14593,This is the description of fake episode 50.
3,17,Fake Episode 51,2008-09-08,8.6,11320,This is the description of fake episode 51.
4,1,Fake Episode 52,2008-09-15,8.9,2722,This is the description of fake episode 52.
4,2,Fake Episode 53,2008-09-22,8.9,6815,This is the description of fake episode 53.
4,3,Fake Episode 54,2008-09-29,8.9,13308,This is the description of fake episode 54.
4,4,Fake Episode 55,2008-10-06,9.2,7921,This is the description of fake episode 55.
4,5,Fake Episode 56,2008-10-13,8.6,2947,This is the description of fake episode 56.
4,6,Fake Episode 57,2008-10-20,9.4,12081,This is the description of fake episode 57.
4,7,Fake Episode 58,2008-10-27,7.2,2004,This is the description of fake episode 58.
4,8,Fake Episode 59,2008-11-03,8.0,2192,This is the description of fake episode 59.
4,9,Fake Episode 60,2008-11-10,7.3,13116,This is the description of fake episode 60.
4,10,Fake Episode 61,2008-11-17,7.5,11371,This is the description of fake episode 61.
4,11,Fake Episode 62,2008-11-24,7.2,14810,This is the description of fake episode 62.
4,12,Fake Episode 63,2008-12-01,8.4,2622,This is the description of fake episode 63.
4,13,Fake Episode 64,2008-12-08,7.1,3429,This is the description of fake episode 64.
4,14,Fake Episode 65,2008-12-15,7.7,2620,This is the description of fake episode 65.
4,15,Fake Episode 66,2008-12-22,7.0,6250,This is the description of fake episode 66.
4,16,Fake Episode 67,2008-12-29,9.1,10271,This is the description of fake episode 67.
4,17,Fake Episode 68,2009-01-05,9.5,11592,This is the description of fake episode 68.
5,1,Fake Episode 69,2009-01-12,7.9,7259,This is the description of fake episode 69.
5,2,Fake Episode 70,2009-01-19,7.0,8892,This is the description of fake episode 70.
5,3,Fake Episode 71,2009-01-26,8.1,11840,This is the description of fake episode 71.
5,4,Fake Episode 72,2009-02-02,6.7,5686,This is the description of fake episode 72.
5,5,Fake Episode 73,2009-02-09,7.9,3354,This is the description of fake episode 73.
5,6,Fake Episode 74,2009-02-16,8.1,8524,This is the description of fake episode 74.
5,7,Fake Episode 75,2009-02-23,8.5,13099,This is the description of fake episode 75.
5,8,Fake Episode 76,2009-03-02,6.7,9469,This is the description of fake episode 76.
5,9,Fake Episode 77,2009-03-09,9.0,11100,This is the description of fake episode 77.
5,10,Fake Episode 78,2009-03-16,6.8,13175,This is the description of fake episode 78.
5,11,Fake Episode 79,2009-03-23,6.6,9359,This is the description of fake episode 79.
5,12,Fake Episode 80,2009-03-30,7.2,5938,This is the description of fake episode 80.
5,13,Fake Episode 81,2009-04-06,9.1,11774,This is the description of fake episode 81.
5,14,Fake Episode 82,2009-04-13,9.3,4603,This is the description of fake episode 82.
5,15,Fake Episode 83,2009-04-20,9.1,7040,This is the description of fake episode 83.
5,16,Fake Episode 84,2009-04-27,6.8,9696,This is the description of fake episode 84.
5,17,Fake Episode 85,2009-05-04,8.8,4985,This is the description of fake episode 85.
6,1,Fake Episode 86,2009-05-11,7.8,4572,This is the description of fake episode 86.
6,2,Fake Episode 87,2009-05-18,8.8,8090,This is the description of fake episode 87.
6,3,Fake Episode 88,2009-05-25,6.9,5916,This is the description of fake episode 88.
6,4,Fake Episode 89,2009-06-01,6.8,14601,This is the description of fake episode 89.
6,5,Fake Episode 90,2009-06-08,7.6,2750,This is the description of fake episode 90.
6,6,Fake Episode 91,2009-06-15,9.2,10489,This is the description of fake episode 91.
6,7,Fake Episode 92,2009-06-22,8.0,11455,This is the description of fake episode 92.
6,8,Fake Episode 93,2009-06-29,9.0,7170,This is the description of fake episode 93.
6,9,Fake Episode 94,2009-07-06,6.8,12330,This is the description of fake episode 94.
6,10,Fake Episode 95,2009-07-13,7.3,12539,This is the description of fake episode 95.
6,11,Fake Episode 96,2009-07-20,7.9,8922,This is the description of fake episode 96.
6,12,Fake Episode 97,2009-07-27,6.9,11294,This is the description of fake episode 97.
6,13,Fake Episode 98,2009-08-03,8.7,7568,This is the description of fake episode 98.
6,14,Fake Episode 99,2009-08-10,7.2,2149,This is the description of fake episode 99.
6,15,Fake Episode 100,2009-08-17,7.4,2065,This is the description of fake episode 100.
6,16,Fake Episode 101,2009-08-24,7.1,2346,This is the description of fake episode 101.
6,17,Fake Episode 102,2009-08-31,9.2,3514,This is the description of fake episode 102.
7,1,Fake Episode 103,2009-09-07,6.9,11642,This is the description of fake episode 103.
7,2,Fake Episode 104,2009-09-14,8.0,13826,This is the description of fake episode 104.
7,3,Fake Episode 105,2009-09-21,8.1,9364,This is the description of fake episode 105.
7,4,Fake Episode 106,2009-09-28,8.8,7197,This is the description of fake episode 106.
7,5,Fake Episode 107,2009-10-05,9.1,11838,This is the description of fake episode 107.
7,6,Fake Episode 108,2009-10-12,7.7,13168,This is the description of fake episode 108.
7,7,Fake Episode 109,2009-10-19,9.3,8670,This is the description of fake episode 109.
7,8,Fake Episode 110,2009-10-26,8.9,11339,This is the description of fake episode 110.
7,9,Fake Episode 111,2009-11-02,8.4,6465,This is the description of fake episode 111.
7,10,Fake Episode 112,2009-11-09,8.8,10448,This is the description of fake episode 112.
7,11,Fake Episode 113,2009-11-16,8.1,5268,This is the description of fake episode 113.
